feature_id,feature_version,target_time,available_by_target_time,shoreline_cell,requested_offshore_offset_km,grid_lat,grid_lon,value,units,missingness_reason,source_observation_ids,transform_code_hash,source_class,production_weight,source_hash,max_sample_gap_hours,quality
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Battles Wharf,3.0,30.490000000000002,-87.96,-1.1223468780517578,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Battles Wharf,3.0,30.490000000000002,-87.96,-0.7646293640136719,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Battles Wharf,3.0,30.490000000000002,-87.96,-0.008048901334404947,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.25,30.490000000000002,-87.94,-0.0001316070556640625,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.25,30.490000000000002,-87.94,-0.04512786865234375,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.25,30.490000000000002,-87.94,0.003505355911329388,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.75,30.48,-87.94,-0.9338836669921875,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.75,30.48,-87.94,-0.9928398132324219,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,0.75,30.48,-87.94,0.08260684460401535,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,1.5,30.490000000000002,-87.94999999999999,-1.2765674591064453,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,1.5,30.490000000000002,-87.94999999999999,-1.0277671813964844,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,1.5,30.490000000000002,-87.94999999999999,0.056511147879064076,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,3.0,30.490000000000002,-87.97,-1.4799079895019531,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,3.0,30.490000000000002,-87.97,-0.5502395629882812,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Point Clear/Grand Hotel,3.0,30.490000000000002,-87.97,0.019870385527610786,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.25,30.41,-87.91,-0.3858814239501953,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.25,30.41,-87.91,-0.5024528503417969,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.25,30.41,-87.91,0.0650074714794755,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.75,30.42,-87.91999999999999,-1.1227951049804688,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.75,30.42,-87.91999999999999,-0.7154960632324219,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,0.75,30.42,-87.91999999999999,0.07666994538158178,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,1.5,30.42,-87.92999999999999,-1.5763092041015625,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,1.5,30.42,-87.92999999999999,-0.7309036254882812,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
bottom_minus_surface_shoreward_current_m_s,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,1.5,30.42,-87.92999999999999,0.054968382231891155,m/s,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_salinity_psu,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,3.0,30.42,-87.94,-1.873239517211914,PSU,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
surface_minus_bottom_temperature_C,ngofs2_regulargrid_v1,2026-09-09T06:00:00+00:00,False,Mullet Point,3.0,30.42,-87.94,-0.714447021484375,degC,,same_grid_node_time_surface_bottom,SELF_FILE_HASH_AT_COMMIT,MODEL_DERIVED,0.0,f231a1ba7928e4450fdd78cb4c8184cbb101f7cb6c5cc024e2f077f040a822c4,,
